year,subject,position,school_id,school_name,slug,city,voivodeship,score,voivodeship_position,voivodeship_total,is_public
2022,overall,117,019c23e6-3628-785b-a4dc-cc72df55f50b,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 6 SZKOŁA PODSTAWOWA MISTRZOSTWA SPORTOWEGO NR 94 IM. HANZY W GDAŃSKU,gdansk/szkola-podstawowa/zespol-szkol-ogolnoksztalcacych-nr-6-szkola-podstawowa-mistrzostwa-sportowego-nr-94-im-hanzy-w-gdansku-133139,Gdańsk,POMORSKIE,55.12,365,645,True
2022,overall,118,019c23da-431f-7c71-94e8-8342096d9b44,SZKOŁA PODSTAWOWA NR 4 IM. KRÓLA KAZIMIERZA JAGIELLOŃCZYKA W GDAŃSKU,gdansk/szkola-podstawowa/szkola-podstawowa-nr-4-im-krola-kazimierza-jagiellonczyka-w-gdansku-17192,Gdańsk,POMORSKIE,54.75,379,645,True
2022,overall,119,019c23da-2801-7317-a118-0261767bd083,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 11- SZKOŁA PODSTAWOWA NR 61 IM. JÓZEFA WYBICKIEGO W GDAŃSKU,gdansk/szkola-podstawowa/zespol-szkolno-przedszkolny-nr-11-szkola-podstawowa-nr-61-im-jozefa-wybickiego-w-gdansku-16564,Gdańsk,POMORSKIE,54.62,384,645,True
2022,overall,120,019c23d9-12c5-7174-806b-5519c4e30380,SZKOŁA PODSTAWOWA NR 56 IM. ANDRZEJA STRUGA W GDAŃSKU,gdansk/szkola-podstawowa/szkola-podstawowa-nr-56-im-andrzeja-struga-w-gdansku-9704,Gdańsk,POMORSKIE,54.43,390,645,True
2022,overall,121,019c23da-282c-7c40-8042-3e6d22bcad3e,SZKOŁA PODSTAWOWA NR 62 W GDAŃSKU,gdansk/szkola-podstawowa/szkola-podstawowa-nr-62-w-gdansku-16641,Gdańsk,POMORSKIE,53.86,404,645,True
2022,overall,122,019c23d9-1ebc-7f7f-8e28-6fd73a5690e0,SZKOŁA PODSTAWOWA NR 21 IM. KPT. Ż. W. OLGIERDA BORCHARDTA W GDAŃSKU,gdansk/szkola-podstawowa/szkola-podstawowa-nr-21-im-kpt-z-w-olgierda-borchardta-w-gdansku-10067,Gdańsk,POMORSKIE,53.18,415,645,True
2022,overall,123,019c23da-ae03-724a-85aa-1dc846c7c42b,SZKOŁA PODSTAWOWA NR 65 IM. ALFA LICZMAŃSKIEGO W GDAŃSKU,gdansk/szkola-podstawowa/szkola-podstawowa-nr-65-im-alfa-liczmanskiego-w-gdansku-19820,Gdańsk,POMORSKIE,52.66,425,645,True
2022,overall,124,019c23d9-eba1-7f39-bab8-3a23a758f192,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 7 SZKOŁA PODSTAWOWA NR 55 IM. JANA HEWELIUSZA W GDAŃSKU,gdansk/szkola-podstawowa/zespol-szkolno-przedszkolny-nr-7-szkola-podstawowa-nr-55-im-jana-heweliusza-w-gdansku-15122,Gdańsk,POMORSKIE,52.42,430,645,True
2022,overall,125,019c23d9-f91c-7724-b746-258e3d238951,SZKOŁA PODSTAWOWA NR 57 IM. GEN. WŁADYSŁAWA ANDERSA W GDAŃSKU,gdansk/szkola-podstawowa/szkola-podstawowa-nr-57-im-gen-wladyslawa-andersa-w-gdansku-15431,Gdańsk,POMORSKIE,52.17,435,645,True
2022,overall,126,019c23da-0a47-79b7-8d48-cb89702169f5,SZKOŁA PODSTAWOWA NR 59 IM. I DYWIZJI PANCERNEJ GEN. STANISŁAWA MACZKA W GDAŃSKU,gdansk/szkola-podstawowa/szkola-podstawowa-nr-59-im-i-dywizji-pancernej-gen-stanislawa-maczka-w-gdansku-15831,Gdańsk,POMORSKIE,51.87,447,645,True
